brand,model,year,price_inr,horsepower,mileage,fuel_type,transmission,top_speed,resale_value,owner_type,notes
Ferrari,Roma,2021,53079505,620,4.1,Petrol,Manual,295,32140000.0,Second Owner,Well maintained
Ferrari,Roma,2023,52756136,682,5.7,Diesel,Manual,280,33430000.0,First Owner,Imported
Ferrari,Roma,2015,54000221,590,4.5,Hybrid,Automatic,228,30260000.0,Second Owner,Imported
Ferrari,Roma,2013,41349307,712,5.8,Petrol,Manual,239,19970000.0,First Owner,Luxury edition
Ferrari,Roma,2022,27631339,637,4.1,Diesel,Manual,293,12600000.0,Third Owner,
Ferrari,Roma,2014,39648339,649,5.7,Hybrid,Automatic,227,21710000.0,Second Owner,Single owner
Ferrari,Roma,2018,47650535,588,6.4,Petrol,Automatic,272,22270000.0,First Owner,Imported
Ferrari,Roma,2017,58684431,594,6.0,Petrol,Manual,326,38090000.0,Third Owner,Luxury edition
Ferrari,Roma,2018,20552819,647,6.4,Diesel,Automatic,256,12550000.0,Third Owner,Single owner
Ferrari,Roma,2013,38531698,713,4.2,Petrol,Automatic,280,17840000.0,Third Owner,
Ferrari,Roma,2021,30666710,672,5.9,Diesel,Manual,307,17060000.0,First Owner,Luxury edition
Ferrari,Roma,2016,40276310,687,5.7,Petrol,Manual,222,18970000.0,First Owner,Luxury edition
Ferrari,Roma,2022,45788171,688,4.5,Diesel,Automatic,255,25890000.0,First Owner,Luxury edition
Ferrari,Roma,2013,52538799,564,4.9,Diesel,Manual,280,33980000.0,Second Owner,
Ferrari,Roma,2013,53232006,653,5.9,Hybrid,Automatic,291,36410000.0,Third Owner,Single owner
Ferrari,Roma,2014,20688675,632,4.6,Petrol,Manual,266,11840000.0,First Owner,
Ferrari,Roma,2022,18029469,699,4.8,Diesel,Automatic,301,10970000.0,Second Owner,Well maintained
Ferrari,Roma,2014,19729223,570,4.9,Petrol,Manual,225,12010000.0,Second Owner,Well maintained
Ferrari,Roma,2019,55539922,627,6.9,Diesel,Manual,276,32730000.0,Second Owner,Well maintained
Ferrari,Roma,2011,29012148,691,5.2,Petrol,Automatic,244,14580000.0,First Owner,Single owner
Ferrari,Roma,2014,32619452,597,6.1,Petrol,Manual,280,16190000.0,First Owner,Single owner
Ferrari,Roma,2018,41261403,595,6.9,Diesel,Manual,256,28390000.0,Third Owner,Well maintained
Ferrari,Roma,2019,36642045,602,6.8,Diesel,Automatic,221,20420000.0,Second Owner,Luxury edition
Ferrari,Roma,2014,50811492,611,6.1,Petrol,Manual,234,29340000.0,Second Owner,
Ferrari,Roma,2017,27089582,602,4.7,Hybrid,Automatic,291,12420000.0,Second Owner,Luxury edition
Ferrari,Roma,2020,58679659,701,5.3,Hybrid,Automatic,246,28900000.0,First Owner,Luxury edition
Ferrari,Roma,2018,31310609,552,5.1,Diesel,Manual,286,15660000.0,First Owner,Luxury edition
Ferrari,Roma,2019,30617565,556,4.1,Hybrid,Manual,242,14120000.0,Second Owner,Single owner
Ferrari,Roma,2010,46357529,677,5.8,Petrol,Manual,274,27250000.0,Second Owner,Single owner
Ferrari,Roma,2018,51190621,658,6.4,Petrol,Automatic,323,24560000.0,Third Owner,Luxury edition
Ferrari,Roma,2023,24413927,666,5.1,Petrol,Manual,315,11250000.0,Third Owner,Luxury edition
Ferrari,Roma,2021,30023355,616,6.7,Diesel,Manual,221,12570000.0,Third Owner,Well maintained
Ferrari,Roma,2019,24595370,665,6.8,Hybrid,Manual,328,11790000.0,Second Owner,Well maintained
Ferrari,Roma,2015,51567031,623,4.9,Petrol,Manual,319,24070000.0,First Owner,Well maintained
Ferrari,Roma,2018,22087134,653,6.2,Hybrid,Automatic,237,10840000.0,Second Owner,
Ferrari,Roma,2014,47532562,633,5.9,Diesel,Automatic,287,31450000.0,Third Owner,Imported
Ferrari,Roma,2021,50815692,677,5.8,Hybrid,Automatic,240,25240000.0,Third Owner,
Ferrari,Roma,2019,40247970,673,5.2,Hybrid,Manual,245,27340000.0,Second Owner,Luxury edition
Ferrari,Roma,2020,53450761,570,5.4,Diesel,Automatic,223,36960000.0,First Owner,
Ferrari,Roma,2010,54431869,577,6.8,Petrol,Automatic,245,33700000.0,First Owner,Single owner
Ferrari,Roma,2016,59812665,699,5.5,Petrol,Manual,274,27530000.0,Third Owner,Well maintained
Ferrari,Roma,2022,27304011,647,6.5,Hybrid,Automatic,318,18940000.0,Second Owner,
Ferrari,Roma,2010,34640983,628,4.8,Hybrid,Manual,241,16100000.0,Third Owner,Imported
Ferrari,Roma,2010,26822676,551,5.6,Petrol,Manual,265,14140000.0,Third Owner,Imported
Ferrari,Roma,2020,21734250,629,5.4,Diesel,Manual,314,13470000.0,Third Owner,Imported
Ferrari,Roma,2017,35341592,591,6.1,Diesel,Automatic,236,14260000.0,First Owner,Single owner
